iter	Passed	Remaining
299	719	1679
300	723	1680
301	728	1682
302	730	1679
303	732	1676
304	733	1671
305	736	1669
306	737	1665
307	739	1661
308	741	1657
309	742	1652
310	744	1648
311	745	1644
312	746	1639
313	748	1634
314	750	1632
315	751	1627
316	753	1623
317	754	1618
318	756	1614
319	757	1610
320	758	1605
321	760	1601
322	761	1596
323	762	1591
324	764	1588
325	766	1585
326	768	1581
327	769	1577
328	771	1572
329	772	1568
330	773	1563
331	774	1559
332	776	1554
333	777	1550
334	779	1546
335	780	1542
336	781	1537
337	783	1533
338	784	1529
339	786	1525
340	787	1521
341	788	1517
342	789	1513
343	791	1509
344	792	1505
345	794	1501
346	795	1497
347	797	1494
348	799	1490
349	800	1486
350	801	1481
351	802	1477
352	803	1473
353	805	1469
354	806	1465
355	808	1461
356	809	1458
357	811	1454
358	812	1451
359	814	1448
360	816	1445
361	817	1441
362	819	1437
363	820	1434
364	822	1431
365	824	1428
366	826	1425
367	828	1422
368	830	1419
369	831	1416
370	833	1412
371	834	1409
372	836	1406
373	838	1403
374	840	1400
375	841	1397
376	843	1394
377	845	1390
378	846	1386
379	847	1383
380	849	1379
381	850	1375
382	852	1372
383	854	1370
384	855	1367
385	857	1364
386	859	1361
387	860	1357
388	861	1353
389	863	1350
390	864	1346
391	866	1343
392	867	1340
393	869	1337
394	871	1334
395	873	1331
396	874	1328
397	876	1325
398	877	1321
399	878	1318
400	880	1315
401	881	1311
402	884	1310
403	885	1306
404	887	1303
405	888	1299
406	890	1296
407	891	1293
408	893	1291
409	894	1287
410	896	1284
411	897	1281
412	899	1278
413	901	1275
414	902	1272
415	904	1269
416	905	1265
417	906	1262
418	908	1259
419	909	1256
420	910	1252
421	912	1249
422	913	1246
423	915	1243
424	916	1239
425	917	1236
426	918	1233
427	920	1229
428	921	1226
429	922	1223
430	923	1219
431	925	1216
432	926	1213
433	928	1210
434	929	1207
435	930	1204
436	932	1201
437	933	1197
438	934	1194
439	936	1191
440	937	1188
441	939	1185
442	940	1182
443	942	1179
444	943	1176
445	945	1173
446	946	1171
447	947	1167
448	949	1164
449	950	1161
450	951	1158
451	952	1155
452	953	1151
453	955	1148
454	956	1145
455	957	1142
456	959	1139
457	960	1136
458	961	1133
459	963	1130
460	964	1127
461	965	1124
462	967	1121
463	968	1119
464	969	1115
465	971	1113
466	972	1110
467	974	1107
468	975	1104
469	976	1101
470	978	1098
471	979	1096
472	981	1093
473	982	1090
474	984	1087
475	986	1085
476	987	1083
477	989	1080
478	990	1077
479	991	1074
480	993	1071
481	994	1068
482	995	1065
483	996	1062
484	998	1059
485	999	1057
486	1001	1055
487	1002	1052
488	1004	1049
489	1006	1047
490	1007	1044
491	1009	1041
492	1010	1039
493	1012	1037
494	1013	1034
495	1015	1031
496	1017	1029
497	1019	1027
498	1020	1025
499	1022	1022
500	1023	1019
501	1025	1016
502	1026	1014
503	1028	1011
504	1029	1009
505	1031	1006
506	1033	1004
507	1034	1002
508	1036	1000
509	1038	997
510	1039	994
511	1040	992
512	1042	989
513	1043	987
514	1045	984
515	1046	981
516	1048	979
517	1049	976
518	1050	973
519	1051	971
520	1053	968
521	1054	965
522	1055	963
523	1057	960
524	1058	957
525	1059	954
526	1061	952
527	1062	949
528	1063	947
529	1065	944
530	1066	941
531	1067	939
532	1068	936
533	1070	933
534	1071	931
535	1072	928
536	1073	925
537	1075	923
538	1076	920
539	1077	918
540	1079	915
541	1080	913
542	1081	910
543	1083	907
544	1084	905
545	1085	902
546	1086	900
547	1088	897
548	1089	894
549	1091	892
550	1092	890
551	1093	887
552	1095	885
553	1096	882
554	1098	880
555	1099	878
556	1100	875
557	1102	873
558	1104	870
559	1106	869
560	1108	867
561	1109	864
562	1109	861
563	1111	859
564	1112	856
565	1114	854
566	1115	852
567	1117	850
568	1119	848
569	1121	846
570	1123	844
571	1125	842
572	1127	840
573	1128	837
574	1130	835
575	1131	833
576	1133	830
577	1135	828
578	1137	827
579	1139	825
580	1141	823
581	1143	821
582	1144	818
583	1146	816
584	1147	814
585	1149	812
586	1151	810
587	1153	807
588	1154	805
589	1156	803
590	1157	800
591	1158	798
592	1160	796
593	1161	793
594	1162	791
595	1164	789
596	1166	787
597	1167	784
598	1169	782
599	1170	780
600	1172	778
601	1173	775
602	1174	773
603	1175	770
604	1177	768
605	1178	766
606	1180	764
607	1181	761
608	1183	759
609	1184	757
610	1186	755
611	1188	753
612	1189	751
613	1191	748
614	1192	746
615	1194	744
616	1196	742
617	1197	740
618	1199	738
619	1200	736
620	1202	733
621	1203	731
622	1205	729
623	1206	727
624	1208	725
625	1210	722
626	1211	720
627	1213	718
628	1214	716
629	1216	714
630	1217	712
631	1218	709
632	1220	707
633	1222	705
634	1223	703
635	1225	701
636	1227	699
637	1228	697
638	1230	695
639	1231	692
640	1233	690
641	1234	688
642	1235	685
643	1236	683
644	1238	681
645	1239	679
646	1241	677
647	1242	675
648	1244	672
649	1245	670
650	1247	668
651	1248	666
652	1250	664
653	1251	662
654	1253	660
655	1254	657
656	1256	655
657	1257	653
658	1259	651
659	1261	649
660	1263	647
661	1264	645
662	1266	643
663	1267	641
664	1269	639
665	1271	637
666	1272	635
667	1274	633
668	1275	631
669	1277	629
670	1279	627
671	1280	624
672	1281	622
673	1283	620
674	1285	618
675	1286	616
676	1288	614
677	1289	612
678	1291	610
679	1292	608
680	1294	606
681	1295	604
682	1296	601
683	1298	599
684	1300	597
685	1301	595
686	1303	593
687	1304	591
688	1306	589
689	1307	587
690	1308	585
691	1310	583
692	1311	581
693	1313	579
694	1315	577
695	1316	575
696	1318	573
697	1319	570
698	1321	568
699	1322	566
700	1324	564
701	1325	562
702	1327	560
703	1328	558
704	1330	556
705	1331	554
706	1332	552
707	1334	550
708	1335	548
709	1337	546
710	1338	544
711	1340	542
712	1341	540
713	1343	538
714	1345	536
715	1346	534
716	1348	532
717	1350	530
718	1352	528
719	1354	526
720	1355	524
721	1357	522
722	1359	520
723	1360	518
724	1362	516
725	1363	514
726	1364	512
727	1366	510
728	1367	508
729	1369	506
730	1370	504
731	1372	502
732	1374	500
733	1375	498
734	1377	496
735	1378	494
736	1380	492
737	1381	490
738	1383	488
739	1384	486
740	1386	484
741	1387	482
742	1389	480
743	1391	478
744	1392	476
745	1394	474
746	1396	472
747	1397	470
748	1398	468
749	1400	466
750	1401	464
751	1403	462
752	1404	460
753	1406	458
754	1407	456
755	1409	454
756	1411	452
757	1412	450
758	1413	448
759	1415	446
760	1416	444
761	1418	442
762	1419	440
763	1421	439
764	1422	437
765	1424	435
766	1425	433
767	1427	431
768	1428	429
769	1430	427
770	1431	425
771	1433	423
772	1434	421
773	1436	419
774	1437	417
775	1439	415
776	1440	413
777	1441	411
778	1443	409
779	1444	407
780	1446	405
781	1448	403
782	1449	401
783	1451	399
784	1453	397
785	1454	396
786	1456	394
787	1458	392
788	1459	390
789	1461	388
790	1462	386
791	1464	384
792	1466	382
793	1467	380
794	1468	378
795	1470	376
796	1471	374
797	1472	372
798	1474	370
799	1475	368
800	1477	366
801	1478	365
802	1480	363
803	1481	361
804	1483	359
805	1484	357
806	1486	355
807	1487	353
808	1489	351
809	1490	349
810	1492	347
811	1493	345
812	1494	343
813	1496	341
814	1497	339
815	1499	338
816	1500	336
817	1501	334
818	1503	332
819	1504	330
820	1506	328
821	1507	326
822	1509	324
823	1510	322
824	1512	320
825	1513	318
826	1515	317
827	1517	315
828	1519	313
829	1521	311
830	1523	309
831	1525	308
832	1527	306
833	1529	304
834	1530	302
835	1532	300
836	1534	298
837	1535	296
838	1536	294
839	1538	293
840	1539	291
841	1540	289
842	1542	287
843	1543	285
844	1544	283
845	1545	281
846	1547	279
847	1548	277
848	1549	275
849	1551	273
850	1552	271
851	1553	269
852	1555	268
853	1557	266
854	1558	264
855	1560	262
856	1561	260
857	1563	258
858	1564	256
859	1566	254
860	1567	253
861	1568	251
862	1570	249
863	1571	247
864	1573	245
865	1574	243
866	1575	241
867	1576	239
868	1577	237
869	1579	235
870	1580	234
871	1582	232
872	1583	230
873	1584	228
874	1585	226
875	1587	224
876	1588	222
877	1589	220
878	1591	219
879	1592	217
880	1593	215
881	1594	213
882	1596	211
883	1598	209
884	1599	207
885	1600	205
886	1602	204
887	1603	202
888	1605	200
889	1606	198
890	1608	196
891	1610	195
892	1612	193
893	1614	191
894	1616	189
895	1617	187
896	1618	185
897	1620	184
898	1621	182
899	1623	180
900	1624	178
901	1626	176
902	1627	174
903	1629	173
904	1630	171
905	1631	169
906	1632	167
907	1634	165
908	1635	163
909	1636	161
910	1638	160
911	1639	158
912	1640	156
913	1642	154
914	1643	152
915	1645	150
916	1646	149
917	1648	147
918	1649	145
919	1650	143
920	1651	141
921	1653	139
922	1654	138
923	1655	136
924	1657	134
925	1658	132
926	1659	130
927	1661	128
928	1662	127
929	1663	125
930	1664	123
931	1666	121
932	1667	119
933	1668	117
934	1669	116
935	1671	114
936	1672	112
937	1674	110
938	1675	108
939	1677	107
940	1678	105
941	1679	103
942	1681	101
943	1682	99
944	1683	97
945	1685	96
946	1686	94
947	1688	92
948	1689	90
949	1691	89
950	1692	87
951	1694	85
952	1695	83
953	1697	81
954	1698	80
955	1702	78
956	1703	76
957	1705	74
958	1707	72
959	1708	71
960	1710	69
961	1711	67
962	1713	65
963	1714	64
964	1716	62
965	1717	60
966	1719	58
967	1722	56
968	1723	55
969	1725	53
970	1726	51
971	1728	49
972	1729	48
973	1731	46
974	1732	44
975	1734	42
976	1735	40
977	1737	39
978	1738	37
979	1740	35
980	1741	33
981	1743	31
982	1744	30
983	1746	28
984	1748	26
985	1750	24
986	1751	23
987	1753	21
988	1754	19
989	1756	17
990	1757	15
991	1759	14
992	1761	12
993	1762	10
994	1764	8
995	1765	7
996	1766	5
997	1768	3
998	1770	1
999	1772	0
